Timestamp;Device;Command;Raw_Response;Decoded_Info;Latency_ms
2026-06-17 11:11:59.741;TERMINAL;OUTPUT;Suche serielle Ports... |;;0
2026-06-17 11:12:00.052;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:00.054;TERMINAL;OUTPUT;Suche serielle Ports... /;;0
2026-06-17 11:12:00.358;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:00.358;TERMINAL;OUTPUT;Suche serielle Ports... -;;0
2026-06-17 11:12:00.665;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:00.665;TERMINAL;OUTPUT;Suche serielle Ports... \;;0
2026-06-17 11:12:00.970;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:00.970;TERMINAL;OUTPUT;Suche serielle Ports... |;;0
2026-06-17 11:12:01.278;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:01.278;TERMINAL;OUTPUT;Suche serielle Ports... /;;0
2026-06-17 11:12:01.585;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:01.585;TERMINAL;OUTPUT;Suche serielle Ports... -;;0
2026-06-17 11:12:01.890;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:01.890;TERMINAL;OUTPUT;Suche serielle Ports... \;;0
2026-06-17 11:12:02.195;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:02.196;TERMINAL;OUTPUT;Suche serielle Ports... |;;0
2026-06-17 11:12:02.499;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:02.499;TERMINAL;OUTPUT;Suche serielle Ports... /;;0
2026-06-17 11:12:02.805;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:02.805;TERMINAL;OUTPUT;Suche serielle Ports... -;;0
2026-06-17 11:12:03.110;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:03.110;TERMINAL;OUTPUT;Suche serielle Ports... \;;0
2026-06-17 11:12:03.417;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:03.417;TERMINAL;OUTPUT;Suche serielle Ports... |;;0
2026-06-17 11:12:03.724;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:03.724;TERMINAL;OUTPUT;Suche serielle Ports... /;;0
2026-06-17 11:12:04.030;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:04.030;TERMINAL;OUTPUT;Suche serielle Ports... -;;0
2026-06-17 11:12:04.335;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:04.335;TERMINAL;OUTPUT;Suche serielle Ports... \;;0
2026-06-17 11:12:04.639;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:04.639;TERMINAL;OUTPUT;Suche serielle Ports... |;;0
2026-06-17 11:12:04.943;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:04.943;TERMINAL;OUTPUT;Suche serielle Ports... /;;0
2026-06-17 11:12:05.246;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:05.246;TERMINAL;OUTPUT;Suche serielle Ports... -;;0
2026-06-17 11:12:05.554;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:05.554;TERMINAL;OUTPUT;Suche serielle Ports... \;;0
2026-06-17 11:12:05.865;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:05.866;TERMINAL;OUTPUT;Suche serielle Ports... |;;0
2026-06-17 11:12:06.171;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:06.171;TERMINAL;OUTPUT;Suche serielle Ports... /;;0
2026-06-17 11:12:06.473;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:06.473;TERMINAL;OUTPUT;Suche serielle Ports... -;;0
2026-06-17 11:12:06.779;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:06.779;TERMINAL;OUTPUT;Suche serielle Ports... \;;0
2026-06-17 11:12:07.088;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:07.088;TERMINAL;OUTPUT;Suche serielle Ports... |;;0
2026-06-17 11:12:07.395;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:07.395;TERMINAL;OUTPUT;Suche serielle Ports... /;;0
2026-06-17 11:12:07.704;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:07.704;TERMINAL;OUTPUT;Suche serielle Ports... -;;0
2026-06-17 11:12:08.009;TERMINAL;OUTPUT;Keine seriellen Ports gefunden.;;0
2026-06-17 11:12:08.009;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:08.009;TERMINAL;OUTPUT;⏳ Es wurden keine Ports gefunden. Prüfe weiter, während du den Adapter anschließt...;;0
2026-06-17 11:12:08.009;TERMINAL;OUTPUT;;;0
2026-06-17 11:12:08.009;TERMINAL;OUTPUT;[OsTech-Laser] Gib den Port ein (z.B. COM3 oder /dev/serial/by-id/usb-...): ;;0










2026-06-17 11:30:25;SESSION;START;HARDWARE;;0
2026-06-17 11:30:25.235;CONFIG;PORT_LASER;None;;0.00
2026-06-17 11:30:25.236;CONFIG;PORT_LOCKIN;None;;0.00
2026-06-17 11:30:25.236;CONFIG;BAUDRATE_LASER;9600;;0.00
2026-06-17 11:30:25.237;CONFIG;BAUDRATE_LOCKIN;19200;;0.00
2026-06-17 11:30:25.237;CONFIG;INTERVAL_LASER;1.0;;0.00
2026-06-17 11:30:25.238;CONFIG;INTERVAL_LOCKIN;0.1;;0.00
2026-06-17 11:30:25.239;CONFIG;LOG_PREFIX;M;;0.00
2026-06-17 11:30:25.239;CONFIG;SIMULATE;False;;0.00
2026-06-17 11:30:25.239;CONFIG;CAPTURE_INPUT;True;;0.00
2026-06-17 11:30:25.241;CONFIG;INSERT_SEPARATOR;True;;0.00
2026-06-17 11:30:25.241;TERMINAL;OUTPUT;;;0
2026-06-17 11:30:25.241;TERMINAL;OUTPUT;================================================================================;;0
2026-06-17 11:30:25.243;TERMINAL;OUTPUT;HARDWARE RS232 / USB KOMMUNIKATIONSSYSTEM - AKTIVER MODUS;;0
2026-06-17 11:30:25.243;TERMINAL;OUTPUT;================================================================================;;0
2026-06-17 11:30:25.244;TERMINAL;OUTPUT;✓ pyserial ist verfügbar - Hardware-Modus aktiv;;0
2026-06-17 11:30:25.244;TERMINAL;OUTPUT;;;0
2026-06-17 11:30:25.244;TERMINAL;OUTPUT;================================================================================;;0
2026-06-17 11:30:25.244;TERMINAL;OUTPUT;SUCHE NACH VERFÜGBAREN SERIELLEN PORTS...;;0
2026-06-17 11:30:25.244;TERMINAL;OUTPUT;================================================================================;;0
2026-06-17 11:30:25.254;TERMINAL;OUTPUT;;;0
2026-06-17 11:30:25.255;TERMINAL;OUTPUT;Suche serielle Ports... |;;0
2026-06-17 11:30:25.565;TERMINAL;OUTPUT;;;0
2026-06-17 11:30:25.565;TERMINAL;OUTPUT;Suche serielle Ports... /;;0
2026-06-17 11:30:25.870;TERMINAL;OUTPUT;;;0
2026-06-17 11:30:25.870;TERMINAL;OUTPUT;Suche serielle Ports... -;;0
2026-06-17 11:30:26.178;TERMINAL;OUTPUT;;;0
2026-06-17 11:30:26.178;TERMINAL;OUTPUT;Suche serielle Ports... \;;0
2026-06-17 11:30:26.487;TERMINAL;OUTPUT;;;0
2026-06-17 11:30:26.489;TERMINAL;OUTPUT;Suche serielle Ports... |;;0
2026-06-17 11:30:26.810;TERMINAL;OUTPUT;;;0
2026-06-17 11:30:26.812;TERMINAL;OUTPUT;Suche serielle Ports... /;;0
2026-06-17 11:30:27.115;TERMINAL;OUTPUT;;;0
2026-06-17 11:30:27.118;TERMINAL;OUTPUT;Suche serielle Ports... -;;0
2026-06-17 11:30:27.421;TERMINAL;OUTPUT;;;0
2026-06-17 11:30:27.423;TERMINAL;OUTPUT;Suche serielle Ports... \;;0
2026-06-17 11:30:27.726;TERMINAL;OUTPUT;;;0
2026-06-17 11:30:27.726;TERMINAL;OUTPUT;Suche serielle Ports... |;;0
2026-06-17 11:30:28.073;TERMINAL;OUTPUT;;;0
2026-06-17 11:30:28.075;TERMINAL;OUTPUT;Suche serielle Ports... /;;0
2026-06-17 11:30:28.403;TERMINAL;OUTPUT;;;0
2026-06-17 11:30:28.403;TERMINAL;OUTPUT;Suche serielle Ports... -;;0
